region,rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_range
others,20000,2007,cadillac,escalade esv base awd,excellent,8,gas,automatic,4wd,SUV,150k-200k
others,42000,2019,chevrolet,tahoe ls 4x4 gas suv,good,5,gas,automatic,4wd,SUV,20k-50k
others,17000,2008,ford,f350 super duty,good,5,diesel,automatic,4wd,sedan,150k-200k
others,4000,2010,ford,focus ses,good,4,gas,manual,fwd,sedan,100k-150k
others,20000,2006,others,lacrosse,good,6,gas,automatic,fwd,sedan,150k-200k
others,23000,2012,toyota,tacoma access cab pickup,good,5,gas,other,4wd,pickup,20k-50k
denver,14000,2008,gmc,yukon xl denali,good,8,gas,automatic,4wd,SUV,150k-200k
others,25000,2020,others,outlander gt sport,good,5,other,other,4wd,SUV,20k-50k
others,5000,2004,ford,2004 Ranger Edge XL,good,5,gas,manual,4wd,truck,100k-150k
others,39000,2020,acura,mdx sh-awd sport utility,good,5,other,other,4wd,other,0-20k
cincinnati,30000,2017,others,romeo giulia ti sedan 4d,good,5,other,other,rwd,sedan,0-20k
others,7000,2006,volkswagen,new beetle convertible,excellent,5,gas,manual,fwd,convertible,50k-100k
others,20000,2009,ford,focus se,good,4,gas,automatic,fwd,sedan,150k-200k
others,26000,2017,others,xc60 inscription,good,4,gas,automatic,4wd,SUV,20k-50k
others,6000,2002,subaru,impreza wrx,salvage,4,gas,manual,4wd,sedan,150k-200k
others,36000,2016,toyota,sequoia,excellent,8,gas,automatic,4wd,SUV,50k-100k
others,55000,2019,toyota,lifted tundra platinum,good,5,gas,automatic,4wd,truck,20k-50k
others,12000,2014,chevrolet,equinox,good,4,gas,automatic,4wd,SUV,50k-100k
new york city,20000,2005,mercedes-benz,benz e500,good,5,gas,automatic,4wd,sedan,0-20k
raleigh / durham / CH,32000,2020,nissan,frontier crew cab sv,good,6,gas,other,4wd,pickup,0-20k
chicago,20000,2009,chevrolet,cobalt,good,5,gas,automatic,4wd,sedan,100k-150k
chicago,20000,2012,others,verano,good,5,gas,automatic,4wd,sedan,0-20k
portland,20000,2017,jeep,grand cherokee overland,good,6,gas,automatic,4wd,SUV,20k-50k
colorado springs,45000,1930,ford,roadster,good,5,gas,manual,4wd,sedan,0-20k
others,35000,2020,others,qx50 luxe sport utility,good,5,other,other,fwd,hatchback,0-20k
others,8000,2012,toyota,camry,excellent,4,gas,automatic,4wd,sedan,150k-200k
long island,4000,2005,mercedes-benz,benz s550,excellent,8,gas,automatic,fwd,sedan,150k-200k
others,6000,2006,cadillac,cts,excellent,4,gas,other,4wd,sedan,100k-150k
others,18000,2017,jeep,renegade sport suv 4d,good,5,gas,other,4wd,other,20k-50k
others,55000,2017,gmc,sierra 2500 slt,good,8,other,automatic,4wd,pickup,100k-150k
charlotte,32000,2018,ram,1500 quad cab harvest pickup,good,6,gas,other,4wd,pickup,20k-50k
others,20000,2014,gmc,sierra 1500,excellent,8,gas,automatic,4wd,truck,150k-200k
others,20000,2007,others,vue awd v6,fair,6,gas,automatic,4wd,SUV,150k-200k
others,16000,2004,jeep,wrangler x sport utility,excellent,6,gas,automatic,4wd,SUV,100k-150k
jacksonville,5000,2004,acura,mdx,good,5,gas,automatic,4wd,sedan,150k-200k
others,25000,2009,chevrolet,silverado 2500 hd crew cab,good,8,gas,automatic,4wd,pickup,100k-150k
san diego,20000,2020,ford,super duty f-250 srw srw,excellent,8,diesel,automatic,4wd,truck,0-20k
reno / tahoe,29000,2017,chevrolet,express 2500,good,8,gas,automatic,rwd,sedan,50k-100k
columbus,13000,2016,kia,optima lx,excellent,4,gas,automatic,4wd,other,50k-100k
charlotte,20000,2014,mercedes-benz,cla-class,good,5,gas,automatic,4wd,sedan,50k-100k
others,20000,1996,mercedes-benz,benz 320,excellent,5,gas,automatic,4wd,sedan,100k-150k
others,30000,2017,jeep,grand cherokee,excellent,6,gas,automatic,rwd,SUV,20k-50k
others,43000,2015,ford,super duty f-350 srw,good,8,diesel,automatic,4wd,truck,100k-150k
"washington, DC",14000,2015,honda,pilot exl 4wd,excellent,6,gas,automatic,4wd,SUV,150k-200k
others,20000,2013,subaru,impreza sedan wrx,excellent,4,gas,other,4wd,sedan,50k-100k
others,12000,2006,subaru,wrx,excellent,4,gas,manual,4wd,hatchback,20k-50k
others,8000,2011,ford,escape xlt,good,5,other,automatic,4wd,other,150k-200k
others,7000,2012,volkswagen,tdi jetta sport wg,excellent,5,gas,automatic,fwd,sedan,150k-200k
others,37000,2017,bmw,x5 xdrive35i sport utility,good,5,other,other,4wd,SUV,20k-50k
raleigh / durham / CH,6000,2008,toyota,prius,good,4,hybrid,automatic,fwd,hatchback,100k-150k
others,6000,2009,dodge,caliber,good,5,gas,automatic,fwd,hatchback,100k-150k
south florida,6000,2010,toyota,prius,excellent,4,hybrid,automatic,4wd,sedan,150k-200k
others,37000,2014,toyota,sienna,good,6,gas,automatic,fwd,van,20k-50k
houston,16000,2016,ford,transit 250 cargo van,like new,5,gas,automatic,4wd,sedan,0-20k
others,20000,2016,chevrolet,silverado 1500,good,8,gas,automatic,4wd,truck,50k-100k
reno / tahoe,14000,2014,chevrolet,impala,like new,6,gas,automatic,fwd,sedan,100k-150k
others,14000,2016,ford,Scion iM Hatchback 4D,good,5,other,other,fwd,hatchback,50k-100k
others,23000,2018,audi,q3 quattro premium plus,excellent,4,gas,automatic,4wd,SUV,0-20k
others,20000,2014,mercedes-benz,e-class,good,5,gas,automatic,4wd,sedan,100k-150k
las vegas,11000,2011,bmw,5-series,good,0,gas,automatic,rwd,sedan,100k-150k
boston,20000,1968,ford,fairlaine,good,5,gas,automatic,4wd,coupe,500k+
detroit metro,7000,2013,ford,escape se ecoboost,excellent,4,gas,automatic,4wd,SUV,100k-150k
denver,22000,2017,volkswagen,golf gti,excellent,4,gas,automatic,fwd,hatchback,20k-50k
others,7000,2011,jeep,compass,good,4,gas,other,fwd,SUV,100k-150k
tampa bay area,20000,2001,gmc,sierra 2500hd,good,5,gas,automatic,4wd,sedan,200k-300k
others,4000,2007,hyundai,tucson,like new,6,gas,automatic,fwd,pickup,100k-150k
others,16000,1969,others,gto,good,8,gas,automatic,rwd,wagon,50k-100k
others,33000,2014,ram,1500,excellent,6,diesel,automatic,4wd,truck,50k-100k
others,20000,2018,nissan,maxima,good,6,gas,automatic,fwd,sedan,50k-100k
others,13000,2015,kia,optima lx,excellent,4,gas,automatic,4wd,sedan,50k-100k
jacksonville,23000,2012,others,f-150,excellent,5,gas,automatic,4wd,SUV,50k-100k
houston,20000,2002,gmc,sierra 1500,good,5,gas,automatic,4wd,other,100k-150k
others,20000,2000,cadillac,deville,good,5,gas,automatic,4wd,sedan,200k-300k
others,44000,2012,ram,f-150,good,5,diesel,automatic,4wd,pickup,100k-150k
minneapolis / st paul,4000,2011,chevrolet,equinox awd,good,4,gas,automatic,4wd,sedan,100k-150k
chicago,20000,2004,volkswagen,passat,good,5,gas,automatic,4wd,sedan,100k-150k
others,5000,2003,others,grand marquis,good,8,gas,automatic,rwd,sedan,100k-150k
others,42000,2015,chevrolet,silverado 1500 high,excellent,8,gas,automatic,4wd,truck,20k-50k
others,10000,2011,mercedes-benz,benz e350,good,6,gas,automatic,rwd,sedan,100k-150k
des moines,25000,2015,audi,q7,good,5,diesel,automatic,4wd,sedan,50k-100k
raleigh / durham / CH,38000,2018,bmw,x5 xdrive35i sport utility,good,5,gas,automatic,4wd,other,20k-50k
others,4000,2007,honda,odyssey exl,good,6,gas,automatic,4wd,mini-van,100k-150k
others,23000,2017,others,qx50 sport utility 4d,good,5,other,other,4wd,hatchback,20k-50k
others,14000,2005,jeep,wrangler,good,6,gas,manual,4wd,sedan,100k-150k
others,36000,2017,chrysler,pacifica,good,6,gas,automatic,fwd,van,50k-100k
others,6000,2003,subaru,baja,excellent,5,gas,automatic,4wd,sedan,200k-300k
others,27000,2013,chevrolet,silverado 1500,good,8,gas,automatic,4wd,pickup,20k-50k
portland,17000,2015,others,mazda6,good,5,gas,automatic,fwd,sedan,20k-50k
"kansas city, MO",7000,2012,honda,civic,excellent,4,gas,automatic,fwd,truck,100k-150k
others,20000,2015,mercedes-benz,m-class,good,6,gas,automatic,rwd,SUV,50k-100k
others,21000,1980,chevrolet,silverado,excellent,8,gas,automatic,fwd,truck,0-20k
"washington, DC",4000,2003,kia,sedona,excellent,6,gas,automatic,fwd,mini-van,150k-200k
"washington, DC",11000,2011,ford,e 250,good,8,gas,automatic,rwd,sedan,150k-200k
ft myers / SW florida,19000,2015,dodge,challenger sxt coupe,like new,6,gas,automatic,rwd,coupe,50k-100k
jacksonville,6000,2006,cadillac,sts,excellent,6,gas,automatic,rwd,sedan,50k-100k
tampa bay area,25000,2019,nissan,frontier king cab s,good,5,gas,other,fwd,pickup,20k-50k
others,10000,2011,others,enclave clx,excellent,6,gas,automatic,fwd,SUV,100k-150k
others,20000,2014,mercedes-benz,gl-class,good,8,gas,automatic,4wd,SUV,100k-150k
reno / tahoe,7000,2003,acura,mdx,excellent,5,gas,automatic,4wd,SUV,100k-150k
others,36000,2017,others,xj,good,5,gas,automatic,4wd,sedan,50k-100k
others,20000,2020,others,enclave,good,5,gas,automatic,4wd,sedan,50k-100k
others,20000,2018,ram,3500,good,6,diesel,automatic,4wd,truck,50k-100k
others,3000,2005,gmc,envoy,excellent,6,gas,automatic,rwd,SUV,100k-150k
stockton,18000,2000,chevrolet,corvette,excellent,8,gas,manual,rwd,coupe,50k-100k
denver,30000,2016,chevrolet,tahoe,good,5,gas,automatic,4wd,other,100k-150k
SF bay area,27000,2014,dodge,durango limited,good,8,gas,automatic,4wd,other,50k-100k
others,24000,2018,others,6 grand touring,excellent,4,gas,automatic,fwd,sedan,20k-50k
milwaukee,5000,2008,dodge,caliber r/t,excellent,4,gas,automatic,fwd,hatchback,100k-150k
ft myers / SW florida,12000,2022,ford,Brunton Stalker,new,6,gas,manual,rwd,sedan,0-20k
others,13000,2015,honda,civic ex-l,good,4,gas,automatic,fwd,sedan,100k-150k
albuquerque,20000,2012,nissan,juke sl,good,5,other,other,4wd,hatchback,100k-150k
reno / tahoe,7000,2005,jeep,liberty,excellent,5,gas,automatic,rwd,SUV,100k-150k
others,8000,2014,chevrolet,equinox ls,excellent,4,gas,automatic,fwd,SUV,50k-100k
others,8000,2011,jeep,patriot,good,4,gas,automatic,4wd,SUV,100k-150k
others,4000,2006,volkswagen,passat,like new,4,gas,automatic,fwd,sedan,100k-150k
north jersey,7000,2013,dodge,dart aero,like new,4,gas,automatic,fwd,sedan,50k-100k
orlando,20000,2008,others,g35,good,5,gas,manual,fwd,sedan,100k-150k
south jersey,36000,2015,gmc,yukon xl,good,5,gas,automatic,4wd,other,50k-100k
rochester,40000,2018,ford,e-series cutaway,good,8,other,automatic,rwd,van,20k-50k
"st louis, MO",16000,2013,ford,f150 4x4,excellent,5,gas,automatic,4wd,truck,100k-150k
others,20000,2016,chevrolet,silverado 1500,good,8,other,automatic,4wd,pickup,50k-100k
others,34000,2015,chevrolet,tahoe lt,like new,8,gas,automatic,4wd,SUV,50k-100k
minneapolis / st paul,9000,2010,ford,f-150 xlt,excellent,8,gas,automatic,4wd,sedan,100k-150k
south jersey,9000,2009,audi,a5,good,6,gas,automatic,fwd,coupe,150k-200k
others,28000,2020,acura,tlx 2.4 sedan 4d,good,5,gas,other,fwd,sedan,0-20k
"kansas city, MO",33000,2018,chevrolet,silverado 1500,good,5,electric,automatic,4wd,sedan,50k-100k
others,28000,2017,bmw,x3 xdrive28i sport utility,good,5,other,other,4wd,SUV,20k-50k
spokane / coeur d'alene,7000,2012,nissan,leaf sv electric,like new,0,electric,automatic,fwd,hatchback,20k-50k
others,14000,2013,toyota,venza,good,5,gas,automatic,4wd,sedan,100k-150k
others,49000,2020,gmc,yukon slt sport utility 4d,good,5,other,other,4wd,SUV,20k-50k
denver,20000,1986,nissan,f-150,good,5,gas,manual,4wd,sedan,150k-200k
others,36000,2012,ram,3500,good,5,diesel,automatic,4wd,sedan,150k-200k
"washington, DC",34000,2019,volkswagen,golf r,good,5,gas,automatic,4wd,hatchback,20k-50k
orange county,4000,2007,bmw,530i,good,5,gas,automatic,4wd,sedan,50k-100k
chicago,6000,2015,ford,focus se,good,4,other,automatic,fwd,sedan,100k-150k
tampa bay area,23000,2018,volkswagen,beetle 2.0t coast,good,5,gas,other,fwd,hatchback,0-20k
others,12000,2014,nissan,rogue sv awd,good,4,gas,automatic,4wd,SUV,100k-150k
others,20000,2011,ford,explorer,good,5,gas,automatic,4wd,SUV,100k-150k
rochester,26000,2016,toyota,tacoma access cab sr5,good,5,other,other,4wd,pickup,50k-100k
others,5000,2008,nissan,xterra,excellent,6,gas,automatic,fwd,pickup,100k-150k
others,11000,2010,subaru,forester,good,4,gas,automatic,4wd,wagon,100k-150k
others,20000,2008,ford,international 4300,good,5,diesel,automatic,4wd,sedan,150k-200k
others,20000,2015,mercedes-benz,e-class,excellent,5,gas,automatic,rwd,sedan,50k-100k
others,20000,1999,bmw,528i,good,6,gas,automatic,rwd,sedan,150k-200k
others,55000,2019,ford,f-150,good,6,other,automatic,fwd,other,20k-50k
north jersey,18000,2012,jeep,wrangler,good,5,other,automatic,4wd,SUV,100k-150k
others,20000,2013,ford,escape,good,4,gas,automatic,fwd,SUV,50k-100k
others,33000,1958,chevrolet,f-150,like new,8,gas,automatic,rwd,wagon,20k-50k
others,41000,2019,acura,mdx advance pkg sport,good,6,gas,other,fwd,other,0-20k
others,20000,2011,chevrolet,traverse,good,6,gas,automatic,4wd,SUV,100k-150k
sacramento,31000,2020,toyota,highlander,good,6,gas,automatic,fwd,SUV,20k-50k
colorado springs,12000,2011,bmw,x5,good,8,gas,automatic,4wd,SUV,50k-100k
others,6000,2004,toyota,4runner,good,6,gas,automatic,4wd,SUV,150k-200k
colorado springs,20000,2005,others,g35x,good,6,gas,automatic,4wd,sedan,200k-300k
others,20000,2013,toyota,prius c,salvage,5,gas,automatic,4wd,sedan,50k-100k
others,36000,2018,audi,a4 allroad premium plus,good,5,gas,other,4wd,wagon,20k-50k
cincinnati,35000,2019,others,nautilus select sport,good,5,gas,other,4wd,other,0-20k
others,7000,2008,honda,accord ex-l,excellent,6,gas,automatic,fwd,sedan,100k-150k
others,20000,1997,others,s70,good,5,gas,automatic,fwd,sedan,200k-300k
austin,17000,2016,others,500 abarth hatchback 2d,good,5,other,other,fwd,hatchback,20k-50k
others,6000,2004,toyota,rav4 l,good,4,gas,automatic,4wd,sedan,100k-150k
seattle-tacoma,20000,1997,ford,aspire,excellent,5,gas,automatic,fwd,hatchback,150k-200k
others,4000,2010,others,milan,good,4,gas,automatic,fwd,sedan,200k-300k
others,40000,2020,others,model 3 standard range,good,5,electric,other,rwd,sedan,0-20k
others,33000,2015,mercedes-benz,gla-class gla 45,good,5,gas,other,4wd,other,20k-50k
others,27000,2018,bmw,x2,good,5,gas,automatic,4wd,SUV,20k-50k
others,31000,2020,jeep,wrangler sport,like new,5,gas,automatic,4wd,sedan,20k-50k
others,20000,2017,honda,civic si,good,5,gas,manual,4wd,sedan,100k-150k
others,11000,2016,others,500x,good,4,gas,automatic,fwd,SUV,50k-100k
"washington, DC",16000,2018,honda,hr-v,good,5,gas,automatic,4wd,SUV,20k-50k
denver,20000,2013,subaru,impreza wrx-s**moon roof,good,5,gas,manual,4wd,sedan,50k-100k
others,9000,1986,gmc,s1700,good,5,diesel,manual,4wd,sedan,20k-50k
others,26000,2017,cadillac,cts,good,4,gas,automatic,rwd,sedan,0-20k
others,20000,2011,gmc,sierra 1500,excellent,8,gas,automatic,4wd,pickup,100k-150k
others,21000,2015,cadillac,ats sedan,good,5,gas,automatic,4wd,sedan,20k-50k
tucson,11000,2004,ford,f150 xlt,excellent,8,gas,automatic,rwd,truck,100k-150k
inland empire,20000,2011,others,regal,good,4,gas,automatic,fwd,sedan,20k-50k
oklahoma city,14000,2013,cadillac,srx,excellent,6,gas,automatic,fwd,SUV,50k-100k
grand rapids,14000,2013,audi,a4,excellent,4,gas,automatic,4wd,sedan,100k-150k
others,35000,2014,toyota,tacoma double cab pickup,good,6,gas,other,4wd,pickup,0-20k
others,9000,2010,ford,edge limited,good,6,gas,automatic,fwd,SUV,100k-150k
others,40000,2018,chevrolet,silverado 1500,good,5,gas,automatic,4wd,sedan,50k-100k
ft myers / SW florida,24000,2015,others,range evoque pure,good,5,gas,other,4wd,SUV,50k-100k
"washington, DC",20000,2017,nissan,maxima 3.5 s,good,5,gas,automatic,fwd,other,20k-50k
detroit metro,8000,2010,jeep,liberty,excellent,6,gas,automatic,4wd,SUV,100k-150k
others,20000,2015,subaru,wrx,good,5,gas,automatic,4wd,sedan,50k-100k
milwaukee,4000,2002,chevrolet,tahoe,excellent,8,gas,automatic,4wd,SUV,150k-200k
others,6000,2009,chevrolet,impala,good,5,gas,manual,4wd,sedan,50k-100k
orlando,21000,2010,chevrolet,3500 hd dually gas,excellent,8,gas,automatic,rwd,truck,150k-200k
austin,39000,2018,lexus,rx 350 sport utility 4d,good,6,gas,other,fwd,other,0-20k
others,20000,2018,bmw,330xi xdrive awd sport sedan,good,5,gas,automatic,4wd,sedan,50k-100k
others,35000,2018,ford,mustang gt premium,good,8,gas,other,rwd,convertible,0-20k
SF bay area,6000,2011,honda,accord,good,4,gas,automatic,4wd,sedan,150k-200k
others,8000,2014,chevrolet,malibu,good,5,gas,automatic,4wd,sedan,150k-200k
tampa bay area,6000,2013,kia,rio,like new,4,gas,automatic,fwd,sedan,50k-100k
others,10000,2017,others,xer,fair,6,gas,automatic,4wd,sedan,50k-100k
others,38000,2018,mercedes-benz,gle 350 sport,good,6,gas,automatic,rwd,SUV,0-20k
others,7000,2008,ford,2008,excellent,6,gas,automatic,4wd,sedan,100k-150k
dallas / fort worth,30000,2015,jeep,wrangler unlimited,good,5,gas,automatic,4wd,convertible,50k-100k
others,27000,2008,chevrolet,corvette,good,8,gas,automatic,rwd,coupe,50k-100k
others,20000,2014,gmc,sierra 1500 4wd,good,6,gas,automatic,4wd,pickup,50k-100k
others,20000,2017,chevrolet,equinox,excellent,6,gas,automatic,4wd,SUV,50k-100k
portland,50000,2013,toyota,fj cruiser premium 1-owner overland hunting rig,good,6,gas,automatic,4wd,SUV,20k-50k
orlando,40000,2017,ford,f-150 xlt 4x4,like new,6,gas,automatic,4wd,pickup,20k-50k
houston,21000,2016,others,qx50,good,6,gas,automatic,rwd,wagon,50k-100k
"st louis, MO",20000,1970,chevrolet,c10,good,8,gas,automatic,rwd,truck,20k-50k
nashville,20000,2016,others,s60 t5 inscription premier,good,5,gas,other,fwd,sedan,20k-50k
san diego,6000,2002,gmc,denali,good,8,gas,automatic,4wd,SUV,100k-150k
pittsburgh,10000,2012,honda,cr-v,excellent,4,gas,automatic,fwd,SUV,100k-150k
others,31000,2014,ford,f150 supercrew cab fx4,good,5,other,other,4wd,pickup,50k-100k
baltimore,20000,1997,cadillac,catera,good,6,gas,automatic,rwd,sedan,100k-150k
others,20000,1998,chevrolet,c/k pickup 3500 k3500,good,8,gas,automatic,4wd,truck,200k-300k
others,8000,2012,ford,fusion se,good,6,gas,automatic,fwd,sedan,50k-100k
SF bay area,4000,2003,others,grand marquis ls,excellent,8,gas,automatic,rwd,sedan,100k-150k
others,35000,2014,ford,f250 super duty crew cab,good,8,diesel,automatic,4wd,pickup,200k-300k
others,20000,2004,toyota,prius,excellent,4,hybrid,automatic,fwd,sedan,200k-300k
others,18000,2012,bmw,5 series,good,6,gas,automatic,rwd,sedan,50k-100k
inland empire,29000,2015,chevrolet,tahoe,excellent,8,gas,automatic,rwd,SUV,50k-100k
others,6000,2009,honda,accord,good,6,gas,automatic,4wd,coupe,150k-200k
long island,9000,1988,jeep,wrangler loredo,excellent,6,gas,manual,4wd,SUV,100k-150k
others,20000,2017,ford,lifted f350 diesel lariat,good,5,diesel,automatic,4wd,truck,0-20k
others,26000,2014,gmc,sierra 1500 regular cab,good,6,gas,other,4wd,pickup,0-20k
des moines,20000,2010,ford,fusion,excellent,4,hybrid,automatic,fwd,sedan,100k-150k
others,15000,2016,dodge,charger,good,8,gas,automatic,4wd,sedan,100k-150k
central NJ,14000,2015,nissan,rogue select,good,4,gas,automatic,4wd,SUV,50k-100k
others,7000,2009,others,mkx,good,6,gas,automatic,fwd,sedan,150k-200k
others,4000,2004,dodge,stratus,good,6,gas,automatic,fwd,sedan,150k-200k
las vegas,23000,2016,subaru,crosstrek 2.0i limited,good,5,other,automatic,4wd,hatchback,20k-50k
atlanta,24000,2018,nissan,pathfinder s sport,good,6,gas,other,4wd,other,20k-50k
orlando,48000,2017,dodge,challenger srt hellcat,excellent,8,gas,automatic,rwd,coupe,20k-50k
others,25000,2016,lexus,nx 200t sport utility 4d,good,5,gas,automatic,fwd,hatchback,20k-50k
others,4000,2010,dodge,charger sxt,good,6,gas,automatic,rwd,sedan,150k-200k
albuquerque,4000,2006,kia,sedona+,excellent,6,gas,automatic,fwd,sedan,150k-200k
others,6000,2005,chevrolet,trailblazer,good,5,gas,automatic,4wd,sedan,150k-200k
south florida,7000,2012,honda,accord,excellent,4,gas,automatic,4wd,wagon,0-20k
others,28000,2013,chevrolet,silverado,good,5,diesel,automatic,4wd,pickup,50k-100k
others,5000,2003,others,navigator,good,8,gas,automatic,rwd,SUV,200k-300k
others,20000,2000,gmc,sierra 1500,fair,8,gas,automatic,4wd,pickup,200k-300k
others,4000,1983,chevrolet,caprice,good,8,gas,automatic,rwd,coupe,50k-100k
reno / tahoe,9000,2003,nissan,murano,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,20000,2007,toyota,tundra,excellent,8,gas,automatic,4wd,truck,50k-100k
others,11000,2008,honda,ridgeline,excellent,6,gas,automatic,4wd,truck,150k-200k
others,32000,2017,jeep,wrangler unlimited sport,good,6,gas,other,4wd,other,20k-50k
others,38000,2016,chevrolet,2500,good,5,diesel,automatic,4wd,sedan,150k-200k
colorado springs,5000,2005,jeep,liberty sport,excellent,6,gas,automatic,4wd,SUV,150k-200k
others,20000,2015,chevrolet,f-150,good,5,gas,automatic,4wd,sedan,200k-300k
others,54000,2020,ford,f150 lariat,good,5,gas,automatic,4wd,sedan,0-20k
others,54000,2020,chevrolet,silverado 1500,good,6,diesel,automatic,4wd,truck,0-20k
"st louis, MO",20000,2013,dodge,challenger,excellent,6,gas,automatic,rwd,sedan,50k-100k
others,18000,1974,others,montego mx,like new,8,gas,automatic,rwd,coupe,20k-50k
others,13000,2006,toyota,4runner sr5 4x2,good,6,gas,automatic,rwd,other,150k-200k
others,6000,2004,ford,expedition,excellent,8,gas,automatic,4wd,SUV,100k-150k
south jersey,9000,2011,nissan,murano,good,5,gas,automatic,4wd,SUV,100k-150k
grand rapids,19000,2010,chevrolet,express cutaway,good,8,gas,automatic,rwd,van,50k-100k
others,7000,2007,lexus,es 350,good,6,gas,automatic,fwd,sedan,50k-100k
stockton,29000,2017,mercedes-benz,c300,excellent,4,gas,automatic,4wd,sedan,20k-50k
others,13000,2010,ford,mustang,good,5,gas,automatic,4wd,sedan,50k-100k
others,12000,2011,honda,f-150,good,5,gas,automatic,4wd,sedan,100k-150k
others,6000,2008,ford,f250 super duty,good,8,gas,automatic,4wd,truck,200k-300k
others,39000,2013,chevrolet,corvette grand sport,good,8,gas,other,rwd,other,50k-100k
orange county,24000,1992,others,delica l300,excellent,4,diesel,automatic,4wd,offroad,100k-150k
others,44000,2018,others,model 3,like new,5,electric,automatic,4wd,sedan,0-20k
tucson,37000,2014,others,range supercharged,good,5,other,other,4wd,SUV,50k-100k
others,20000,2003,ford,Oldsmobile Alero,good,5,gas,automatic,4wd,sedan,150k-200k
stockton,20000,2012,volkswagen,golf,good,5,gas,manual,4wd,sedan,100k-150k
others,30000,2020,others,corsair,like new,4,gas,automatic,fwd,sedan,0-20k
"kansas city, MO",20000,2011,gmc,yukon xl 4wd 4dr 1500 slt,good,5,other,automatic,4wd,SUV,100k-150k
others,15000,2015,volkswagen,tiguan 2.0t s sport,good,5,gas,automatic,fwd,SUV,50k-100k
others,20000,2010,chevrolet,cobalt lt,good,5,gas,automatic,4wd,sedan,150k-200k
others,26000,2015,bmw,4 series,good,4,gas,automatic,4wd,other,20k-50k
others,27000,2013,bmw,7 series,good,8,gas,automatic,rwd,sedan,20k-50k
des moines,7000,2008,others,vue xr,good,6,other,automatic,fwd,other,100k-150k
reno / tahoe,18000,2013,others,g sedan,good,6,gas,automatic,4wd,sedan,50k-100k
others,25000,2004,cadillac,xlr convertible,excellent,8,gas,automatic,rwd,convertible,20k-50k
others,20000,2016,lexus,is 300,good,6,gas,automatic,4wd,sedan,20k-50k
others,19000,2005,ford,"GMC, Ford, Freightliner & More",good,5,diesel,automatic,4wd,sedan,150k-200k
others,6000,2005,honda,odyssey,good,6,gas,automatic,fwd,mini-van,150k-200k
others,13000,2012,audi,a6,good,6,gas,automatic,4wd,sedan,50k-100k
others,15000,2015,honda,cr-v ex-l,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,36000,2015,chevrolet,"silverado 1500 4wd crew cab 143.5"" lt w/1lt",good,6,gas,automatic,4wd,pickup,20k-50k
others,20000,2017,subaru,wrx,excellent,4,gas,other,4wd,sedan,50k-100k
rochester,8000,2011,nissan,rouge awd,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,25000,2017,bmw,2 series 230i coupe 2d,good,5,other,automatic,rwd,coupe,0-20k
others,39000,2020,others,continental sedan 4d,good,6,gas,other,fwd,sedan,0-20k
los angeles,9000,2016,volkswagen,jetta,good,5,gas,automatic,4wd,sedan,20k-50k
others,20000,2011,kia,sorento,good,5,gas,automatic,4wd,sedan,50k-100k
others,4000,2010,honda,insight,excellent,4,hybrid,automatic,fwd,sedan,150k-200k
raleigh / durham / CH,10000,2015,volkswagen,jetta se,good,4,gas,automatic,fwd,sedan,0-20k
others,4000,1998,mercedes-benz,f-150,good,6,gas,automatic,rwd,sedan,100k-150k
others,8000,2009,chevrolet,impala,good,6,gas,automatic,fwd,sedan,50k-100k
others,41000,2018,toyota,tundra,excellent,8,gas,automatic,4wd,truck,20k-50k
albuquerque,9000,2016,ford,fusion,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,19000,2011,audi,q5 2.0t quattro premium,good,5,gas,other,4wd,SUV,20k-50k
others,14000,2015,ford,MV-1 Van,excellent,5,gas,automatic,4wd,sedan,50k-100k
des moines,46000,2020,chevrolet,silverado 1500,good,5,other,automatic,4wd,sedan,0-20k
los angeles,13000,2013,ford,"transit connect 114.6"" xlt",good,4,gas,automatic,fwd,van,100k-150k
"washington, DC",5000,2005,others,cooper hardtop 2dr cpe,excellent,4,gas,manual,4wd,hatchback,50k-100k
others,12000,2014,ford,escape titanium,good,4,gas,automatic,4wd,SUV,100k-150k
others,8000,2011,bmw,3-series,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,10000,2012,others,outlander sport,good,4,gas,automatic,4wd,SUV,50k-100k
others,18000,2009,ford,f-150,good,5,gas,automatic,4wd,pickup,50k-100k
spokane / coeur d'alene,8000,2006,ford,five hundred,good,6,gas,automatic,4wd,sedan,50k-100k
seattle-tacoma,43000,2017,ford,f150 xlt fx4 4x4 1/2 ton,good,5,gas,automatic,4wd,truck,20k-50k
south florida,20000,2015,ford,transit,good,5,other,automatic,4wd,van,50k-100k
dallas / fort worth,10000,1984,mercedes-benz,benz,good,8,gas,automatic,rwd,sedan,150k-200k
atlanta,17000,2012,ford,f-150,good,6,gas,automatic,4wd,truck,150k-200k
"washington, DC",7000,2013,ford,focus sel,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,20000,2017,honda,accord lx,good,5,other,automatic,fwd,sedan,50k-100k
others,40000,2020,acura,mdx sh-awd sport utility,good,6,gas,other,4wd,other,0-20k
