region,rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_range
others,6000,2005,kia,sedona lx,excellent,6,gas,automatic,4wd,van,100k-150k
others,16000,2016,ford,explorer,good,6,gas,automatic,fwd,SUV,50k-100k
jacksonville,7000,2014,ford,focus,good,4,gas,automatic,fwd,sedan,100k-150k
tucson,33000,2015,chevrolet,tahoe,excellent,8,gas,automatic,4wd,SUV,50k-100k
others,27000,2014,lexus,ls 460 sedan 4d,good,5,other,automatic,rwd,sedan,50k-100k
los angeles,10000,2012,toyota,prius v wgn two,excellent,4,hybrid,other,4wd,other,100k-150k
orange county,20000,2002,chevrolet,express 1500 cargo,fair,6,gas,automatic,rwd,van,300k-400k
others,8000,2013,volkswagen,eos komfort,excellent,4,gas,automatic,fwd,convertible,50k-100k
others,13000,2011,ford,explorer,excellent,5,gas,automatic,fwd,SUV,150k-200k
others,20000,2019,chevrolet,silverado 1500,excellent,8,gas,automatic,4wd,truck,50k-100k
others,48000,2016,ram,3500 slt lifted crew,good,6,diesel,automatic,4wd,pickup,50k-100k
others,22000,2016,ford,f250,excellent,8,gas,automatic,rwd,sedan,100k-150k
others,29000,2017,bmw,4 series 440i xdrive gran,good,5,gas,automatic,4wd,coupe,20k-50k
others,35000,2014,ram,1500,good,8,gas,automatic,4wd,truck,50k-100k
others,27000,2020,toyota,camry hybrid se,like new,4,hybrid,automatic,4wd,sedan,20k-50k
others,23000,2016,chevrolet,traverse,good,6,gas,automatic,4wd,sedan,50k-100k
others,19000,2013,chevrolet,silverado 1500,excellent,8,gas,automatic,4wd,pickup,100k-150k
austin,30000,2018,others,romeo stelvio sport suv 4d,good,5,gas,other,4wd,hatchback,0-20k
others,20000,2006,subaru,impreza,good,5,gas,manual,4wd,sedan,100k-150k
others,26000,2016,ram,1500,good,8,gas,other,4wd,truck,100k-150k
others,40000,2020,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,0-20k
rochester,40000,2020,acura,mdx sh-awd sport utility,good,6,gas,other,4wd,other,0-20k
others,20000,2009,toyota,rav4 base,excellent,4,gas,automatic,4wd,SUV,150k-200k
raleigh / durham / CH,8000,2009,bmw,328i,excellent,6,gas,automatic,rwd,sedan,50k-100k
austin,6000,2001,toyota,camry,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,25000,2013,bmw,1 series 135i convertible 2d,good,5,gas,other,rwd,other,20k-50k
others,10000,2017,hyundai,accent se,excellent,4,gas,automatic,4wd,sedan,50k-100k
others,4000,2004,nissan,frontier 4x4,good,5,gas,automatic,4wd,sedan,150k-200k
central NJ,8000,2013,hyundai,elantra gls,excellent,4,gas,automatic,fwd,sedan,50k-100k
phoenix,25000,2014,toyota,tacoma access cab pickup,good,5,gas,manual,4wd,pickup,20k-50k
south florida,9000,2000,ford,international,excellent,8,diesel,automatic,rwd,truck,150k-200k
others,40000,2015,others,f-150,good,8,gas,automatic,4wd,SUV,50k-100k
others,20000,2019,jeep,cherokee latitude,good,4,gas,automatic,4wd,SUV,20k-50k
raleigh / durham / CH,16000,2015,dodge,charger se,good,5,gas,automatic,rwd,sedan,50k-100k
others,8000,2012,jeep,patriot,good,4,gas,automatic,4wd,SUV,150k-200k
others,20000,1999,ford,taurus,good,4,gas,automatic,fwd,sedan,150k-200k
des moines,20000,2013,jeep,wrangler sport *fr $499 down guaranteed finance,excellent,6,gas,manual,4wd,SUV,50k-100k
san diego,8000,2012,ford,escape,excellent,5,gas,automatic,fwd,SUV,100k-150k
milwaukee,20000,2008,others,3 hatchback,good,5,gas,automatic,4wd,sedan,200k-300k
others,17000,2016,dodge,charger,good,5,gas,automatic,4wd,sedan,100k-150k
others,39000,2019,acura,mdx sh-awd w/technology,good,5,other,other,4wd,other,0-20k
others,9000,2014,toyota,prius,like new,4,hybrid,automatic,fwd,sedan,100k-150k
others,5000,2005,toyota,sienna limited,good,6,gas,automatic,4wd,sedan,100k-150k
orlando,19000,2017,others,mkz hybrid select,good,5,hybrid,automatic,4wd,sedan,20k-50k
others,5000,2006,others,rendezvous,good,5,other,automatic,fwd,SUV,100k-150k
others,19000,1999,ford,f-250,good,5,gas,automatic,4wd,pickup,50k-100k
others,20000,2014,dodge,charger se,excellent,6,gas,automatic,rwd,sedan,50k-100k
others,37000,2020,dodge,challenger r/t coupe 2d,good,5,other,other,rwd,coupe,0-20k
others,4000,2007,others,cooper base hardtop,excellent,4,gas,automatic,fwd,hatchback,100k-150k
others,16000,2005,chevrolet,silverado z71,excellent,8,gas,automatic,4wd,pickup,50k-100k
others,11000,2010,ford,e-series cargo e 250 3dr,excellent,8,gas,automatic,4wd,van,100k-150k
others,33000,2020,ford,transit cargo,good,5,gas,automatic,rwd,sedan,20k-50k
others,20000,2021,ram,1500 trx,good,5,other,automatic,4wd,pickup,0-20k
others,36000,2018,audi,a4 allroad premium plus,good,5,gas,other,4wd,wagon,20k-50k
others,30000,2019,others,s60 t6 momentum sedan 4d,good,5,other,other,4wd,sedan,0-20k
others,11000,2012,dodge,journey sxt,excellent,6,gas,automatic,fwd,SUV,100k-150k
baltimore,31000,2015,toyota,4runner,good,6,gas,automatic,4wd,SUV,100k-150k
